# v_px_y v_px_z v_py_z c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
# total number of atoms: ${natoms}
# Timestep: 120000000
1.536 9.67666e-06 9.92932e-06 9.42391e-06 2.33722e-06 2.29933e-06 2.2841e-06 
1.664 9.12279e-06 9.72511e-06 8.97636e-06 2.35556e-06 2.12901e-06 2.16017e-06 
1.792 8.55616e-06 9.2511e-06 8.6668e-06 2.10692e-06 2.02197e-06 2.20081e-06 
1.92 8.41704e-06 8.84816e-06 8.27928e-06 2.01044e-06 2.00652e-06 2.19847e-06 
2.048 8.28396e-06 8.22222e-06 7.86653e-06 2.06362e-06 1.92237e-06 1.98333e-06 
2.304 7.49448e-06 7.93495e-06 6.94269e-06 1.84482e-06 1.87676e-06 1.9196e-06 
2.56 6.96805e-06 7.46547e-06 6.61424e-06 1.82282e-06 1.66665e-06 1.80848e-06 
2.816 6.94821e-06 7.1242e-06 6.30084e-06 1.74421e-06 1.65787e-06 1.66477e-06 
3.072 6.35059e-06 6.24284e-06 6.04372e-06 1.56611e-06 1.5769e-06 1.56026e-06 
3.328 5.73289e-06 6.28672e-06 5.98512e-06 1.43604e-06 1.53519e-06 1.55835e-06 
3.584 5.32467e-06 5.84923e-06 5.36252e-06 1.4062e-06 1.50224e-06 1.47493e-06 
3.84 4.92897e-06 5.71527e-06 5.29428e-06 1.40885e-06 1.39673e-06 1.23071e-06 
4.096 4.84477e-06 5.496e-06 5.29052e-06 1.30383e-06 1.3006e-06 1.24409e-06 
4.608 4.63372e-06 5.40831e-06 4.87728e-06 1.18827e-06 1.07856e-06 1.1908e-06 
5.12 4.29138e-06 4.80501e-06 4.65291e-06 1.13581e-06 1.09903e-06 9.95541e-07 
5.632 4.10917e-06 4.55156e-06 4.14063e-06 1.13502e-06 9.46878e-07 1.13292e-06 
6.144 3.49658e-06 3.98107e-06 3.80159e-06 9.70663e-07 8.98535e-07 1.09999e-06 
6.656 3.57711e-06 3.84113e-06 3.4445e-06 9.82429e-07 9.24553e-07 9.91211e-07 
7.168 3.3813e-06 3.62839e-06 3.45618e-06 9.74251e-07 8.82134e-07 9.19803e-07 
7.68 3.27401e-06 3.37574e-06 3.48125e-06 8.70903e-07 7.96508e-07 8.3301e-07 
8.192 3.20341e-06 3.39985e-06 3.155e-06 7.88348e-07 7.63289e-07 7.86755e-07 
9.216 2.91269e-06 2.91702e-06 2.90503e-06 8.1361e-07 6.77271e-07 7.80415e-07 
10.24 2.65772e-06 2.66584e-06 2.60933e-06 7.84357e-07 7.41919e-07 8.04802e-07 
11.264 2.99029e-06 3.08725e-06 2.87163e-06 7.41567e-07 7.03739e-07 6.09842e-07 
12.288 2.51844e-06 2.84774e-06 2.58435e-06 7.48711e-07 6.27618e-07 5.90087e-07 
13.312 1.9085e-06 2.53771e-06 2.34226e-06 6.70564e-07 6.04559e-07 5.68576e-07 
14.336 1.98319e-06 2.76165e-06 2.16782e-06 5.50358e-07 5.32275e-07 5.38182e-07 
15.36 2.08303e-06 2.52428e-06 2.22514e-06 5.54161e-07 5.60766e-07 4.67458e-07 
16.384 2.06137e-06 2.48398e-06 2.01483e-06 5.15605e-07 5.59158e-07 5.14936e-07 
18.432 1.82683e-06 2.29394e-06 2.04076e-06 4.15827e-07 4.64918e-07 5.12841e-07 
20.48 1.44979e-06 1.91571e-06 1.83853e-06 4.41737e-07 4.92192e-07 4.5476e-07 
22.528 1.7438e-06 1.93045e-06 1.7964e-06 4.4606e-07 3.73389e-07 3.67442e-07 
24.576 1.42995e-06 1.86153e-06 1.66263e-06 4.03152e-07 4.131e-07 3.82232e-07 
26.624 1.50036e-06 1.88693e-06 1.27098e-06 3.79998e-07 3.52921e-07 4.00329e-07 
28.672 1.50806e-06 1.53515e-06 1.40123e-06 3.96716e-07 2.92374e-07 3.7838e-07 
30.72 1.45857e-06 1.24785e-06 1.15155e-06 3.2415e-07 3.6514e-07 3.27605e-07 
32.768 1.35032e-06 1.47875e-06 1.1104e-06 3.34192e-07 3.3302e-07 2.88535e-07 
36.864 1.51186e-06 1.33605e-06 1.33435e-06 2.39034e-07 3.29277e-07 2.88197e-07 
40.96 1.26172e-06 1.43159e-06 1.09772e-06 2.67479e-07 3.13206e-07 2.34935e-07 
45.056 9.51175e-07 1.15021e-06 7.75088e-07 3.09433e-07 2.53358e-07 2.77093e-07 
49.152 9.79375e-07 1.08834e-06 1.06297e-06 2.37264e-07 2.54245e-07 2.26435e-07 
53.248 8.0099e-07 1.282e-06 9.32024e-07 1.74931e-07 2.12713e-07 2.4649e-07 
57.344 6.82222e-07 1.07986e-06 5.92192e-07 2.25066e-07 2.18832e-07 1.62123e-07 
61.44 5.786e-07 1.11511e-06 6.62356e-07 2.07063e-07 2.06901e-07 1.78883e-07 
65.536 5.76887e-07 1.00509e-06 6.27978e-07 2.00835e-07 2.14809e-07 2.03114e-07 
73.728 7.27117e-07 9.15839e-07 9.09674e-07 1.57538e-07 2.31473e-07 1.45474e-07 
81.92 5.7724e-07 8.15152e-07 6.40179e-07 1.46365e-07 1.84006e-07 1.53744e-07 
90.112 6.16623e-07 6.08081e-07 5.25992e-07 1.73209e-07 1.91059e-07 1.72345e-07 
